iteration,total_runs,obs_realization,par_realization,hmuni,hdeep,hshallow,v_lens,zert,zmuni,l_zmuni_pct,zwells,ztdem
1,386,124,124,78.5303,64.5337,42.3904,0,765.595,0,0,190.022,745.533
1,386,125,125,93.2759,30.8917,118.326,0,1013.15,0,0,830.332,1178.58
1,386,127,127,85.9294,42.2348,88.4167,0,582.994,0,0,374.351,624.521
1,386,128,128,200.726,120.429,14.2774,0,753.693,0,0,61.7575,551.864
1,386,129,129,141.368,79.4974,21.9974,0,747.275,0,0,221.957,485.794
1,386,130,130,122.93,74.4355,67.0684,0,646.64,0,0,237.359,645.432
1,386,131,131,95.713,32.5066,108.421,0,782.209,0,0,629.765,892.199
1,386,132,132,239.284,146.536,152.878,0,895.735,0,0,118.206,544.358
1,386,133,133,234.386,198.095,144.083,0,982.433,0,0,79.7555,655.61
1,386,134,134,100.354,84.8683,34.6551,0,580.601,0,0,136.322,747.346
1,386,135,135,118.953,22.8275,192.58,0,1093.94,0,0,1187.98,1368.46
1,386,136,136,96.6182,24.2961,77.5851,0,998.73,0,0,1037.53,1019.5
1,386,137,137,75.6422,28.0958,59.2862,0,962.833,0,0,580.128,996.127
1,386,139,139,88.592,34.4627,81.6079,0,851.504,0,0,371.626,814.545
1,386,140,140,181.756,159.812,102.412,0,882.267,0,0,30.3935,572.34
1,386,141,141,120.987,45.8498,77.8673,0,715.374,0,0,483.069,804.069
1,386,142,142,117.469,36.1927,142.95,0,1027.5,0,0,954.924,1357.45
1,386,143,143,170.274,128.653,24.2446,0,594.825,0,0,133.571,630.557
1,386,145,145,171.237,110.885,56.5161,0,878.222,0,0,135.394,571.765
1,386,146,146,138.367,89.7013,7.36373,0,868.939,0,0,135.239,572.113
1,386,147,147,102.982,27.025,124.136,0,877.559,0,0,1006.58,1036.96
1,386,148,148,111.353,60.84,25.7471,0,890.647,0,0,497.007,782.141
1,386,149,149,101.72,48.1043,16.977,0,748.889,0,0,646.954,800.358
1,386,150,150,111.643,19.7116,223.824,0,1164.14,0,0,2366.37,2028.94
1,386,151,151,88.6235,87.2941,30.9112,0,590.976,0,0,103.292,568.912
1,386,152,152,115.264,89.1139,8.48594,0,791.702,0,0,57.623,539.651
1,386,153,153,97.6733,34.7907,60.2426,0,617.187,0,0,857.963,749.793
1,386,154,154,139.855,155.96,14.629,0,596.814,0,0,67.5301,607.755
1,386,155,155,105.428,39.4631,80.3824,0,857.599,0,0,287.993,677.535
1,386,156,156,199.424,93.6671,108.039,0,1147.17,0,0,101.168,689.913
1,386,157,157,93.126,44.4913,161.233,0,728.941,0,0,508.669,970.832
1,386,158,158,119.085,63.764,7.86112,0,812.123,0,0,332.944,641.952
1,386,159,159,101.742,23.2208,207.019,0,994.027,0,0,864.144,1066.33
1,386,162,162,370.107,226.166,482.398,0,1608.88,0,0,160.861,928.34
1,386,164,164,239.274,162.618,187.777,0,1316.16,0,0,139.491,709.156
1,386,165,165,103.596,28.6918,261.205,0,1375.96,0,0,1268.95,2220.3
1,386,166,166,93.475,19.7061,197.839,0,1344.1,0,0,1041.26,1387.57
1,386,167,167,98.9856,15.8214,201.606,0,1280.2,0,0,1656.4,1753.68
1,386,168,168,250.234,192.188,148.11,0,1219.55,0,0,103.583,645.991
1,386,169,169,225.894,182.85,74.745,0,706.317,0,0,54.6805,438.812
1,386,170,170,113.484,86.3585,31.4935,0,485.978,0,0,133.394,603.896
1,386,171,171,163.051,78.7884,69.2928,0,929.244,0,0,246.783,526.957
1,386,172,172,92.1443,32.6568,155.584,0,1012.35,0,0,413.252,908.234
1,386,173,173,92.1485,22.022,173.994,0,804.773,0,0,937.874,1176.91
1,386,174,174,114.713,50.3028,5.10167,0,615.362,0,0,383.478,514.809
1,386,175,175,158.99,121.347,23.2586,0,832.363,0,0,88.7142,616.058
